CreditScore,Age,Balance,EstimatedSalary,Geography,IsActiveMember,Tenure,Gender,HasCrCard,NumOfProducts,class
0.6920000000000001,0.445945945945946,0.0,0.2750805201896781,Spain,0,5,Female,1,2,0
0.5099999999999999,0.2837837837837838,0.4197629802602324,0.6901148059639695,Spain,0,10,Male,1,2,0
0.4839999999999999,0.1756756756756757,0.4387084014868348,0.219569868922482,Spain,0,7,Male,0,1,0
0.4539999999999998,0.2972972972972973,0.0,0.5439290452238188,Spain,1,1,Female,1,2,0
0.4799999999999998,0.2162162162162162,0.2623070984717341,0.8017501671409618,Spain,1,0,Male,0,2,0
0.664,0.3378378378378379,0.5016057714907276,0.9666260627889962,France,1,5,Female,1,1,0
0.6960000000000001,0.4594594594594595,0.4300819906600325,0.8444546954234129,Germany,0,1,Female,1,1,1
0.5219999999999999,0.4594594594594595,0.0,0.3679031347493685,Spain,1,7,Male,0,1,1
0.408,0.445945945945946,0.4212941995692355,0.8990169061145339,Germany,1,7,Female,0,1,1
0.7699999999999999,0.2837837837837838,0.2406354707602597,0.2010800031402998,Spain,0,1,Male,1,1,0
0.626,0.2567567567567567,0.6189912007700019,0.5935819370749906,Germany,0,8,Female,1,1,0
0.668,0.5540540540540542,0.4881308183733085,0.0789849930668378,Germany,1,9,Male,0,1,0
0.7020000000000001,0.1081081081081081,0.3332039713813685,0.295945612806023,Spain,1,5,Male,0,1,0
0.6920000000000001,0.2702702702702703,0.5672268768566553,0.0400383736646849,Germany,1,6,Male,1,1,0
0.894,0.1486486486486486,0.0,0.7499703221657669,France,1,1,Male,0,1,0
0.658,0.2162162162162162,0.4825220072420639,0.2848922072057882,Germany,0,7,Female,1,1,0
0.1919999999999999,0.0945945945945945,0.5428609679730922,0.8837440475565417,Germany,0,3,Male,1,1,0
0.354,0.3108108108108108,0.5449752128443863,0.2879160459823913,Germany,1,10,Female,1,1,0
0.654,0.2162162162162162,0.0,0.0308226935672356,Spain,1,4,Female,1,2,0
0.4719999999999998,0.1351351351351351,0.0,0.8524605099787029,France,0,5,Female,1,3,1
0.1639999999999999,0.3648648648648648,0.4392984418494378,0.2151961512324426,Germany,0,3,Female,1,1,1
0.664,0.6891891891891893,0.0,0.748034437288761,France,1,6,Male,0,2,0
